INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
级别	名称	需求金钱	需求经验	技能熟练度限制	技能熟练度限制(客户端显示)	本级熟练度的上限	等级限制	NPC名称	NPC需求金钱	NPC需求经验
1	通用(等级1)	10000	1428	0	0	0	25	空	0	0
2	通用(等级2)	1341	4503	0	0	0	30	空	0	0
3	通用(等级3)	2931	10728	0	0	0	35	空	0	0
4	通用(等级4)	5456	21228	0	0	0	40	空	0	0
5	通用(等级5)	9120	37128	0	0	0	45	空	0	0
6	通用(等级6)	14123	59553	0	0	0	50	空	0	0
7	通用(等级7)	20683	89694	0	0	0	55	空	0	0
8	通用(等级8)	40371	182574	0	0	0	60	空	0	0
9	通用(等级9)	71058	331104	0	0	0	65	空	0	0
10	通用(等级10)	115098	548451	0	0	0	70	空	0	0
