INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT
id	opt_type	time_type	time_start	sceneid	scriptid	time_slice	reserve1	reserve2	reserve3	reserve4	reserve5	¹ã²¥ÀàÐÍ	Âý±¨¼ä¸ô	Âý±¨ÄÚÈÝ$1$	Âý±¨½áÊøÊ±¼äµã	¿ì±¨¼ä¸ô	¿ì±¨ÄÚÈÝ$1$	¿ì±¨½áÊøÊ±¼äµã	¸Õ¿ª±¨¼ä¸ô	¸Õ¿ª±¨ÄÚÈÝ$1$	¸Õ¿ª±¨½áÊøÊ±¼äµã	½øÐÐÖÐ±¨¼ä¸ô	½øÐÐÖÐ±¨ÄÚÈÝ$1$	½øÐÐÖÐ±¨½áÊøÊ±¼äµã	¿ì½áÊø±¨¼ä¸ô	¿ì½áÊø±¨ÄÚÈÝ$1$	½áÊøÊ±¼äµã	ruler	»î¶¯Ãû³Æ$1$	Ê§Ð§Ê±¼ä
#<00>id	»î¶¯±àºÅ																													
#<01>opt_type	»î¶¯Ö´ÐÐÀàÐÍ£º0±íÊ¾½öÖ´ÐÐÒ»´Î£¬1±íÊ¾ÔÚÓÐÐ§Ê±¼ä¶ÎÄÚÃ¿´Î·þÎñÆ÷Æô¶¯¶¼»áÖ´ÐÐÒ»´Î																													
#<02>time_type	Ê±¼ä¿ØÖÆÀàÐÍ£º0±íÊ¾½öÖ´ÐÐÒ»´Î£¬1±íÊ¾Ã¿ÌìÖ´ÐÐÒ»´Î£¬2±íÊ¾Ã¿ÖÜÖ´ÐÐÒ»´Î£¬3±íÊ¾Ã¿ÔÂÖ´ÐÐÒ»´Î																													
#<03>time_start	¿ªÊ¼Ê±¼ä																													
#		Ê±¼ä¿ØÖÆÀàÐÍ£½0Ê±£º(Ç°ÈýÎ»±íÊ¾Ò»ÄêÖÐµÄÌìÊý1¡«365£¬ºóÁ½Î»±íÊ¾Ò»ÌìÊ±¼äµÄ¿ÌÊý0¡«95)																												
#		Ê±¼ä¿ØÖÆÀàÐÍ£½1Ê±£º(Ç°ÈýÎ»ÎÞÒâÒå£¬ºóÁ½Î»±íÊ¾Ò»ÌìÊ±¼äµÄ¿ÌÊý0¡«95)																												
#		Ê±¼ä¿ØÖÆÀàÐÍ£½2Ê±£º(Ç°¶þÎ»ÎÞÒâÒå£¬µÚÈýÎ»±íÊ¾ÐÇÆÚÊý0=ÐÇÆÚÌì;1=ÐÇÆÚÒ»£¬ºóÁ½Î»±íÊ¾Ò»ÌìÊ±¼äµÄ¿ÌÊý0¡«95)																												
#		Ê±¼ä¿ØÖÆÀàÐÍ£½3Ê±£º(Ç°¶þÎ»±íÊ¾±¾ÔÂµÄÌìÊý(01-31)£¬ºóÁ½Î»±íÊ¾Ò»ÌìÊ±¼äµÄ¿ÌÊý0¡«95)																												
#<04>sceneid	³¡¾°±àºÅ£º-1±íÊ¾ËùÓÐ³¡¾°¶¼Òª¼¤»î																													
#<05>scriptid	»î¶¯Ö´ÐÐµÄ½Å±¾£¬È±Ê¡µ÷ÓÃOnDefaultEvent																													
#<06>time_slice	Æô¶¯Ê±¼ä¶Î£¬µ¥Î»£ºÊ±¿Ì																													
#<07>reserve1																														
#<08>reserve2																														
#<09>reserve3																														
#<10>reserve4																														
#<11>reserve5																														
#<28>ruler	nRuler£½-1£¬²»Ê¹ÓÃActivityRuler£»nRuler£½0£¬ÓÉActivityRuler¼¤»îËùÓÐ×ÓÏî£»nRuler¡Ý1£¬¼¤»înRuler¸ö×ÓÏî																													
#<30>time_invalid	Ê§Ð§Ê±¼ä£¬ÅäÖÃ¸ñÊ½²Î¿¼ÓÚ¿ªÊ¼Ê±¼ä																													
#																														
0	0	1	66	0	808000	0	0	0	0	0	0	4	30	#{QJ_20080317_01}	230	3	#{QJ_20080317_02}	240	10	#{QJ_20080317_03}	320	3	#{QJ_20080317_04}	329	1	#{QJ_20080317_05}	330	0	Æå¾Ö	-1
1	0	1	54	2	808000	4	-1	-1	-1	-1	-1	4	30	#{KJ_20080317_01}	230	3	#{KJ_20080317_02}	240	170	#{KJ_20080317_03}	410	3	#{KJ_20080317_04}	420	-1	-1	-1	-1	0	-1
2	0	1	70	2	801016	0	-1	-1	-1	-1	1000	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
3	0	1	82	2	801019	0	-1	-1	-1	-1	-1	4	10	#{KJ_20080317_05}	20	3	#{KJ_20080317_06}	30	30	#{KJ_20080317_07}	50	3	#{KJ_20080317_08}	60	-1	-1	-1	-1	0	-1
4	0	1	84	2	801020	0	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		-1
5	0	1	86	2	801021	0	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		-1
6	0	1	0	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BOSS môn phái	-1
7	0	1	32	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BOSS môn phái	-1
8	0	1	64	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BOSS môn phái	-1
9	0	1	10	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BOSS môn phái	-1
10	0	1	42	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BOSS môn phái	-1
11	0	1	74	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BOSS môn phái	-1
12	0	1	20	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BOSS môn phái	-1
13	0	1	52	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BOSS môn phái	-1
14	0	1	84	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BOSS môn phái	-1
15	0	1	52	3	50016	0	0	0	0	0	0	4	4	#{FZ_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	Kë thù xâm lßþc	95
16	0	1	60	3	50016	0	0	0	0	0	0	4	4	#{FZ_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	Kë thù xâm lßþc	95
17	0	1	68	3	50016	0	0	0	0	0	0	4	4	#{FZ_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	Kë thù xâm lßþc	95
18	0	1	76	3	50016	0	0	0	0	0	0	4	4	#{FZ_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	Kë thù xâm lßþc	95
19	0	1	84	3	50016	0	0	0	0	0	0	4	4	#{FZ_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	Kë thù xâm lßþc	95
20	0	1	40	9	808015	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	Ðánh lén môn phái	-1
21	0	1	48	9	808015	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	Ðánh lén môn phái	-1
#22	0	2	658	1	808003	0	0	0	0	0	0	4	10	#{BWDH_20080317_01}	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Nhóm c¤p 40 ÐÕi Tháo giªt Chu Løc	-1
#23	0	2	358	1	808003	0	0	0	0	0	0	4	10	#{BWDH_20080317_01}	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Nhóm c¤p 40 ÐÕi Tháo giªt Chu Tam	-1
24	0	2	59	1	808000	0	0	0	0	0	0	4	5	#{HSLJ_20080317_01}	15	1	#{HSLJ_20080317_02}	18	65	-1	65	3	#{HSLJ_20080317_03}	75	-1	-1	-1	-1	Lu§n Kiªm Hoa S½n chü nh§t hàng tu¥n	-1
25	0	2	475	1	808000	0	0	0	0	0	0	4	5	#{XHSLJ_20080317_01}	15	1	#{HSLJ_20080317_02}	18	65	-1	65	3	#{XHSLJ_20080317_02}	75	-1	-1	-1	-1	Lu§n Kiªm Hoa S½n thÑ 5 hàng tu¥n	-1
26	0	1	64	9	808015	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	Ðánh lén môn phái	-1
27	0	1	80	9	808015	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	Ðánh lén môn phái	-1
28	0	1	88	9	808015	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	Ðánh lén môn phái	-1
29	0	1	0	9	808015	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	Ðánh lén môn phái	-1
#30	0	2	658	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Nhóm c¤p 50 ÐÕi Tháo giªt Chu Løc	-1
#31	0	2	358	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Nhóm c¤p 50 ÐÕi Tháo giªt Chu Tam	-1
#32	0	2	658	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Nhóm c¤p 60 ÐÕi Tháo giªt Chu Løc	-1
#33	0	2	358	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Nhóm c¤p 60 ÐÕi Tháo giªt Chu Tam	-1
#34	0	2	658	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Nhóm c¤p 70 ÐÕi Tháo giªt Chu Løc	-1
