INT	INT	STRING	STRING	INT	INT	INT	STRING
ID	ÀàÐÍ(²ß»®·ÖÀàÓÃ)	Ãû³Æ$1$	ÃèÊö$1$	Âß¼­ÀàÐÍ(³ÌÐòÓÃ)	µÈ¼¶	Ê±¼ä	×¢ÊÍ
0	1	 Tân Thü 	Cài ð£t hi®u xßng ðÆng c¤p là 0, có nghîa là loÕi hi®u xßng ðÆng c¤p	1	1	-1	Cài ð£t hi®u xßng ðÆng c¤p là 0, có nghîa là loÕi hi®u xßng ðÆng c¤p
1	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
2	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
3	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
4	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
5	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
6	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
7	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
8	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
9	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
10	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
11	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
12	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
13	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
14	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
15	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
16	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
17	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
18	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
19	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
20	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
21	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
22	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
23	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
24	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
25	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
26	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
27	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
28	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
29	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
30	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
31	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
32	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
33	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
34	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
35	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
36	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
37	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
38	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
39	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
40	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
41	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
42	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
43	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
44	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
45	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
46	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
47	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
48	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
49	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
50	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
