INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT
index	class	quality	type	Medindex	×ÊÔ´	name$1$	ËµÃ÷ÎÄ×Ö$1$	µÈ¼¶	»ù±¾¼Û¸ñ	³öÊÛ¼Û¸ñ	ÊÊÓ¦¹æÔò	µþ·ÅÊýÁ¿	½Å±¾±àºÅ	¼¼ÄÜ±àºÅ	ÊÇ·ñÏûºÄ	ÐèÇó¼¼ÄÜ	ÐèÇó¼¼ÄÜµÈ¼¶	×î´ó³ÖÓÐÊýÁ¿	Ñ¡Ôñ¶ÔÏóÀàÐÍ	ÀàÐÍÃèÊö$1$	µµ´ÎµÈ¼¶	Åä·½id	ÑÕÉ«	SubClass	ÊÇ·ñ¹ã²¥
20005020	2	0	5	20	OtherTools2_14	V§t ph¦m chßa ðßþc biªt	V§t ph¦m chßa ðßþc biªt	1	10	2	4	20	-1	-1	1	8	1	-1	-1	V§t ph¦m chßa ðßþc biªt	1	0	2000	-1	0
20101000	2	1	1	0	XinFa1_7	Tàng Bäo Ð° (VÑt Bö)	Tàng Bäo Ð°	1	0	0	4	1	-1	-1	1	8	1	-1	-1	Ngân Phiªu	1	0	2000	-1	0
20101001	2	1	1	1	Herbal1_1	BÕch Anh	Cây h÷ cà. V¸ ð¡ng, cay. Công hi®u thanh nhi®t, giäm sßng, giäi ðµc. Dùng ð¬ chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	1	375	10	4	40	-1	-1	1	8	1	-1	-1	Dßþc Li®u S½ C¤p	1	0	2000	-1	0
20101002	2	1	1	2	Herbal1_2	B° Hoàng	Cây h÷ hß½ng b°. V¸ ng÷t. Công hi®u c¥m máu, hoÕt huyªt. Dùng ð¬ chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	1	625	10	4	40	-1	-1	1	8	1	-1	-1	Dßþc Li®u S½ C¤p	1	0	2000	-1	0
20101003	2	1	1	3	Herbal2_2	Xuyên B¯i	Cây h÷ bách hþp. Thân khô, v¸ ng÷t. Công døng tr¸ ho, lþi gan, ði«u khí. Dùng ð¬ chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	2	625	20	4	40	-1	-1	1	8	2	-1	-1	Dßþc Li®u S½ C¤p	2	0	2000	-1	0
20101004	2	1	1	4	Herbal1_6	Nguyên H°	Cây h÷ anh túc, tên khác là Diên H° Sách. Công døng hoÕt huyªt, giäm ðau. Dùng ð¬ chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	2	875	20	4	40	-1	-1	1	8	2	-1	-1	Dßþc Li®u S½ C¤p	2	0	2000	-1	0
20101005	2	1	1	5	Herbal1_8	TÏ Bà	Cây h÷ tß¶ng vi. V¸ ð¡ng, ði«u hòa phª v¸, tr¸ ho, nôn mØa. Dùng ð¬ chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	3	875	30	4	40	-1	-1	1	8	3	-1	-1	Dßþc Li®u S½ C¤p	3	0	2000	-1	0
20101006	2	1	1	6	Herbal2_4	Cam Thäo	Cây h÷ ðâu. V¸ ng÷t, giäi ðµc, kháng viêm, giäm ðâu, và ng×a ung thß. Dùng ð¬ chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	3	875	30	4	40	-1	-1	1	8	3	-1	-1	Dßþc Li®u S½ C¤p	3	0	2000	-1	0
20101007	2	1	1	7	Herbal1_10	Kim Ngân Hoa	Cây h÷ nhçn. V¸ ng÷t, lÕnh. Công døng thanh nhi®t giäi ðµc. Dùng ð¬ chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	3	1125	30	4	40	-1	-1	1	8	3	-1	-1	Dßþc Li®u S½ C¤p	3	0	2000	-1	0
