INT	INT	INT	STRING	INT	INT	INT
Index	ÓÐÐ§ÆÚ(Ð¡Ê±)	´«ÊäÑÕÉ«	¸½¼ÓÊôÐÔÃèÊö$1$	ÊÇ·ñÏÔÊ¾	ÊÇ·ñÏÔÊ¾	ÊÇ·ñÏÔÊ¾
10100000	-1	2005	-1	0	1	1
10100001	-1	2005	-1	0	1	1
10100002	-1	2005	-1	0	1	1
10100003	-1	2005	-1	0	1	1
10100011	-1	2005	-1	0	1	1
10100031	-1	2005	-1	0	1	1
10100032	-1	2005	-1	0	1	1
10100100	-1	2005	-1	0	1	1
10101000	-1	2005	-1	0	1	1
10101001	-1	2005	-1	0	1	1
10101002	-1	2005	-1	0	1	1
10101003	-1	2005	-1	0	1	1
10101100	-1	2005	-1	0	1	1
10102000	-1	2005	-1	0	1	1
10102001	-1	2005	-1	0	1	1
10102002	-1	2005	-1	0	1	1
10102003	-1	2005	-1	0	1	1
10102012	-1	2005	-1	0	1	1
10102013	-1	2005	-1	0	1	1
10102100	-1	2005	-1	0	1	1
10102101	-1	2005	-1	0	1	1
10102102	-1	2005	-1	0	1	1
10102103	-1	2005	-1	0	1	1
10102104	-1	2005	-1	0	1	1
10102105	-1	2005	-1	0	1	1
10102106	-1	2005	-1	0	1	1
10102107	-1	2005	-1	0	1	1
10102108	-1	2005	-1	0	1	1
10102109	-1	2005	-1	0	1	1
10102110	-1	2005	-1	0	1	1
10102111	-1	2005	-1	0	1	1
10102112	-1	2005	-1	0	1	1
10102113	-1	2005	-1	0	1	1
10102114	-1	2005	-1	0	1	1
10102115	-1	2005	-1	0	1	1
10102116	-1	2005	-1	0	1	1
10102117	-1	2005	-1	0	1	1
10102118	-1	2005	-1	0	1	1
10102119	-1	2005	-1	0	1	1
10102120	-1	2005	-1	0	1	1
10103000	-1	2005	-1	0	1	1
10103001	-1	2005	-1	0	1	1
10103002	-1	2005	-1	0	1	1
10103003	-1	2005	-1	0	1	1
10103100	-1	2005	-1	0	1	1
10103101	-1	2005	-1	0	1	1
10103102	-1	2005	-1	0	1	1
10103103	-1	2005	-1	0	1	1
10104000	-1	2005	-1	0	1	1
10104001	-1	2005	-1	0	1	1
10104002	-1	2005	-1	0	1	1
10104003	-1	2005	-1	0	1	1
10104100	-1	2005	-1	0	1	1
10105000	-1	2005	-1	0	1	1
10105001	-1	2005	-1	0	1	1
10105002	-1	2005	-1	0	1	1
10105003	-1	2005	-1	0	1	1
10105100	-1	2005	-1	0	1	1
10110000	-1	2005	-1	0	1	1
10110001	-1	2005	-1	0	1	1
10110002	-1	2005	-1	0	1	1
10110003	-1	2005	-1	0	1	1
10110004	-1	2005	-1	0	1	1
10110005	-1	2005	-1	0	1	1
10110006	-1	2005	-1	0	1	1
10110007	-1	2005	-1	0	1	1
10110008	-1	2005	-1	0	1	1
10110100	-1	2005	-1	0	1	1
10111000	-1	2005	-1	0	1	1
10111001	-1	2005	-1	0	1	1
10111002	-1	2005	-1	0	1	1
10111003	-1	2005	-1	0	1	1
10111004	-1	2005	-1	0	1	1
10111005	-1	2005	-1	0	1	1
10111006	-1	2005	-1	0	1	1
10111007	-1	2005	-1	0	1	1
10111008	-1	2005	-1	0	1	1
10111100	-1	2005	-1	0	1	1
10112000	-1	2005	-1	0	1	1
10112001	-1	2005	-1	0	1	1
10112002	-1	2005	-1	0	1	1
10112003	-1	2005	-1	0	1	1
10112004	-1	2005	-1	0	1	1
10112005	-1	2005	-1	0	1	1
10112006	-1	2005	-1	0	1	1
10112007	-1	2005	-1	0	1	1
10112008	-1	2005	-1	0	1	1
10112100	-1	2005	-1	0	1	1
10113000	-1	2005	-1	0	1	1
10113001	-1	2005	-1	0	1	1
10113002	-1	2005	-1	0	1	1
10113003	-1	2005	-1	0	1	1
10113004	-1	2005	-1	0	1	1
10113005	-1	2005	-1	0	1	1
10113006	-1	2005	-1	0	1	1
10113007	-1	2005	-1	0	1	1
10113008	-1	2005	-1	0	1	1
10113100	-1	2005	-1	0	1	1
10114000	-1	2005	-1	0	1	1
10114001	-1	2005	-1	0	1	1
10114002	-1	2005	-1	0	1	1
10115000	-1	2005	-1	0	1	1
10115001	-1	2005	-1	0	1	1
10115002	-1	2005	-1	0	1	1
10120001	-1	2005	-1	0	1	1
10120002	-1	2005	-1	0	1	1
10120003	-1	2005	-1	0	1	1
10121001	-1	2005	-1	0	1	1
10121002	-1	2005	-1	0	1	1
10121003	-1	2005	-1	0	1	1
10122001	-1	2005	-1	0	1	1
10122002	-1	2005	-1	0	1	1
10122003	-1	2005	-1	0	1	1
10123001	-1	2005	-1	0	1	1
10123002	-1	2005	-1	0	1	1
10123003	-1	2005	-1	0	1	1
10124000	-1	2005	-1	0	1	1
10124001	-1	2005	-1	0	1	1
10124002	-1	2005	-1	0	1	1
10124003	-1	2005	-1	0	1	1
10124004	-1	2005	-1	0	1	1
10124005	-1	2005	-1	0	1	1
10124006	-1	2005	-1	0	1	1
10124007	-1	2005	-1	0	1	1
10124008	-1	2005	-1	0	1	1
10124009	-1	2005	-1	0	1	1
10124010	-1	2005	-1	0	1	1
10124011	-1	2005	-1	0	1	1
10124012	-1	2005	-1	0	1	1
10124013	-1	2005	-1	0	1	1
