INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
Ì××°±àºÅ	Ì××°Ãû×Ö$1$	×é¼þÊý	ÌØÐ§	°ó¶¨µã	Ð§¹ûÀàÐÍ0	Ð§¹ûÖµ	Ð§¹ûÀàÐÍ1	Ð§¹ûÖµ	Ð§¹ûÀàÐÍ2	Ð§¹ûÖµ	Ð§¹ûÀàÐÍ3	Ð§¹ûÖµ	Ð§¹ûÀàÐÍ4	Ð§¹ûÖµ	Ð§¹ûÀàÐÍ5	Ð§¹ûÖµ	Ð§¹ûÀàÐÍ6	Ð§¹ûÖµ	Ð§¹ûÀàÐÍ7	Ð§¹ûÖµ	Ð§¹ûÀàÐÍ8	Ð§¹ûÖµ	Ð§¹ûÀàÐÍ9	Ð§¹ûÖµ	Ð§¹ûÀàÐÍ10	Ð§¹ûÖµ	Ð§¹ûÀàÐÍ11	Ð§¹ûÖµ	Ð§¹ûÀàÐÍ12	Ð§¹ûÖµ	Ð§¹ûÀàÐÍ13	Ð§¹ûÖµ	Ð§¹ûÀàÐÍ14	Ð§¹ûÖµ	Ð§¹ûÀàÐÍ15	Ð§¹ûÖµ
0	Ma Kha	3	-1	-1	-1	-1	22	54	44	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	Vô Tß¾ng	3	-1	-1	-1	-1	42	10	0	966	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	Vi Ðà	4	-1	-1	-1	-1	47	3	48	2	37	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	Kim Cß½ng	3	-1	-1	-1	-1	44	17	42	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	Bát Nhã	4	-1	-1	-1	-1	22	196	13	2	48	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	La Hán	5	-1	-1	-1	-1	47	5	12	5	37	5	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	Ma Thiên	4	-1	-1	-1	-1	22	270	44	28	48	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	Vô Tr¥n	5	-1	-1	-1	-1	44	32	22	307	19	309	23	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	Quy Ai	6	-1	-1	-1	-1	22	345	47	6	0	3919	37	6	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	Tu Bích	4	-1	-1	-1	-1	22	382	29	382	48	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	Tâm Hàn	4	-1	-1	-1	-1	12	24	19	384	48	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	B° Ð«	5	-1	-1	-1	-1	44	40	42	40	37	7	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12	Ma Ni	3	-1	-1	-1	-1	19	48	42	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
13	Yªt Ðª	3	-1	-1	-1	-1	46	5	35	91	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
14	Li®t Di®m	4	-1	-1	-1	-1	47	3	48	2	37	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15	Nµ Di®m	3	-1	-1	-1	-1	42	17	46	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
16	Ð¸a Hoä	4	-1	-1	-1	-1	19	197	10	2	48	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
17	Quy Tr¥n	5	-1	-1	-1	-1	47	5	9	5	37	5	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
18	Thiên Hoä	4	-1	-1	-1	-1	19	272	42	29	48	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
19	Ph¥n Di®t	5	-1	-1	-1	-1	42	33	19	309	22	307	20	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
20	Thánh Höa	6	-1	-1	-1	-1	19	346	47	6	35	385	37	6	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
21	Viêm Nh§t	4	-1	-1	-1	-1	22	382	36	143	48	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
22	Lãnh Nguy®t	4	-1	-1	-1	-1	9	24	19	384	48	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
23	CØu Dß½ng	5	-1	-1	-1	-1	42	40	46	33	37	7	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
24	Hàng Long	3	-1	-1	-1	-1	19	48	46	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
25	Ti«m Long	3	-1	-1	-1	-1	44	9	36	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
26	Kiªn Long	4	-1	-1	-1	-1	47	3	48	2	37	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
27	Long Chiªn	3	-1	-1	-1	-1	46	9	44	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
28	Th¥n Long	4	-1	-1	-1	-1	19	197	16	2	48	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
29	Tù Long	5	-1	-1	-1	-1	47	5	15	5	37	5	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
30	Thang Lung	4	-1	-1	-1	-1	19	272	46	16	48	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
31	Du Long	5	-1	-1	-1	-1	44	32	19	309	22	307	20	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
32	C¥m Long	6	-1	-1	-1	-1	19	346	47	6	36	129	37	6	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
33	Ð° Long	4	-1	-1	-1	-1	22	382	36	143	48	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
34	Träm Long	4	-1	-1	-1	-1	35	427	19	384	48	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
35	Côn B¢ng	5	-1	-1	-1	-1	44	40	46	33	37	7	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
36	Vô Cñc	3	-1	-1	-1	-1	26	48	43	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
37	LßÞng nghi	3	-1	-1	-1	-1	46	5	3	500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
38	TÑ Tßþng	4	-1	-1	-1	-1	47	3	48	2	37	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
39	Løc Hþp	3	-1	-1	-1	-1	43	17	46	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
40	Bát quái	4	-1	-1	-1	-1	26	197	13	2	48	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
41	Âm Dß½ng	5	-1	-1	-1	-1	47	5	12	5	37	5	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
42	Hình Ý	4	-1	-1	-1	-1	26	272	43	29	48	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
43	Ngû Hành	5	-1	-1	-1	-1	43	33	26	309	22	307	27	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
44	Thái Cñc	6	-1	-1	-1	-1	26	346	47	6	3	2017	37	6	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
45	Hàn Vø	4	-1	-1	-1	-1	29	382	36	143	48	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
