INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT
index	Ãû³Æ$1$	ResultID	ResultNum	¶ÔÓ¦¼¼ÄÜID	¼¼ÄÜµÈ¼¶ÐèÇó£¨´ËÁÐ×îµÍÌî1£©	Stuff1ID	Stuff1num	Stuff2ID	Stuff2num	Stuff3ID	Stuff3num	Stuff4ID	Stuff4num	Stuff5ID	Stuff5num	»îÁ¦ÐèÇó	¾«Á¦ÐèÇó	ÃÅÅÉ¹±Ï×¶ÈÐèÇó	ÊôÐÔÐèÇó2ÊýÁ¿	ÀäÈ´Ê±¼ä(ºÁÃë)	ÐèÇó¹¤¾ßID	ÀäÈ´×éID	ÊìÁ·¶ÈÐèÇó	Ôö¼ÓÊìÁ·¶È	¹¦ÄÜ·Ö×é	²Ù×÷Ê±¼ä	½Å±¾ID	Ê§°ÜÊ±²úÆ·±àºÅ	Ëæ»úÅä·½µÄÏêÏ¸ÃèÊö$1$	Æ·ÖÊ¹æÔò	ÌØÊâ²ÄÁÏµÄÎïÆ·×ÓÀà£¨From CommonItem.txt£©£¬ÈôÌîÐ´Ôò±ØÐë
0	Màn Th¥u Ph¯i Phß½ng	30101001	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	-1	0	0	16	3000	-1	30101001	Ta ði«n r°i	-1	-1
1	Tam Ðình Khäm Ðao Ð° Tß¶ng 	10200011	1	4	1	20103001	25	20103061	10	20103097	12	20308001	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	1	3000	-1	-1	Ta ði«n r°i	7	-1
2	Di®p Li­u Bát Phong Ðao Ð° Tß¶ng 	10200012	1	4	2	20103002	30	20103062	15	20103097	15	20308002	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	1	3000	-1	-1	Ta ði«n r°i	7	-1
3	Nguy®t Nha Khai S½n Phü Ð° Tß¶ng 	10200013	1	4	3	20103003	35	20103063	20	20103097	21	20308003	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	1	3000	-1	-1	Ta ði«n r°i	7	-1
4	Bäo Quang Xa Luân Phü Ð° Tß¶ng 	10200014	1	4	4	20103004	40	20103064	25	20103098	24	20308004	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	1	3000	-1	-1	Ta ði«n r°i	7	-1
5	Ngû Hành Nh§t Nguy®t Sän Ð° Tß¶ng 	10200015	1	4	5	20103005	45	20103065	30	20103098	27	20308005	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	1	3000	-1	-1	Ta ði«n r°i	7	-1
6	Kinh Ðïnh Täo Dß½ng Sóc Ð° Tß¶ng 	10200016	1	4	6	20103006	50	20103066	35	20103098	33	20308006	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	1	3000	-1	-1	Ta ði«n r°i	7	-1
7	Chu Tß¾c L¸ch Thiên Phü Ð° Tß¶ng 	10200017	1	4	7	20103007	55	20103067	40	20103099	48	20308007	1	-1	-1	80	-1	-1	-1	-1	-1	-1	0	1	1	3000	-1	-1	Ta ði«n r°i	7	-1
8	Thü Ly Ð° Tß¶ng 	10200018	1	4	8	20103008	60	20103068	45	20103099	52	20308008	1	-1	-1	90	-1	-1	-1	-1	-1	-1	0	1	1	3000	-1	-1	Ta ði«n r°i	7	-1
9	H÷a Phúc Ð° Tß¶ng 	10200019	1	4	9	20103009	65	20103069	50	20103099	60	20308009	1	-1	-1	100	-1	-1	-1	-1	-1	-1	0	1	1	3000	-1	-1	Ta ði«n r°i	7	-1
10	Bách Chiªn Ð° Tß¶ng 	10200020	1	4	10	20103010	70	20103070	55	20103099	64	20308010	1	-1	-1	110	-1	-1	-1	-1	-1	-1	0	1	1	3000	-1	-1	Ta ði«n r°i	7	-1
11	Tam C± Mãng Lôi Xoa Ð° Tß¶ng 	10201011	1	4	1	20103001	25	20103061	10	20103097	12	20308011	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	2	3000	-1	-1	Ta ði«n r°i	7	-1
12	Tinh Cß½ng LÕo H± Xoa Ð° Tß¶ng 	10201012	1	4	2	20103002	30	20103062	15	20103097	15	20308012	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	2	3000	-1	-1	Ta ði«n r°i	7	-1
13	Thanh Ng÷c Ð¢ng Long Thß½ng Ð° Tß¶ng 	10201013	1	4	3	20103003	35	20103063	20	20103097	21	20308013	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	2	3000	-1	-1	Ta ði«n r°i	7	-1
14	Tam C± Li®t Di®m Xoa Ð° Tß¶ng 	10201014	1	4	4	20103004	40	20103064	25	20103098	24	20308014	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	2	3000	-1	-1	Ta ði«n r°i	7	-1
15	H± VÛ TÕm Kim Thß½ng Ð° Tß¶ng 	10201015	1	4	5	20103005	45	20103065	30	20103098	27	20308015	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	2	3000	-1	-1	Ta ði«n r°i	7	-1
16	Ngû Ðµc Th¤u C¯t Thß½ng Ð° Tß¶ng 	10201016	1	4	6	20103006	50	20103066	35	20103098	33	20308016	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	2	3000	-1	-1	Ta ði«n r°i	7	-1
17	BÕo Võ Di®t H°nthß½ng Ð° Tß¶ng 	10201017	1	4	7	20103007	55	20103067	40	20103099	48	20308017	1	-1	-1	80	-1	-1	-1	-1	-1	-1	0	1	2	3000	-1	-1	Ta ði«n r°i	7	-1
18	Xiªt Tinh Xuyên Thiên Ð° Tß¶ng 	10201018	1	4	8	20103008	60	20103068	45	20103099	52	20308018	1	-1	-1	90	-1	-1	-1	-1	-1	-1	0	1	2	3000	-1	-1	Ta ði«n r°i	7	-1
19	ÐoÕn Ð° Tß¶ng 	10201019	1	4	9	20103009	65	20103069	50	20103099	60	20308019	1	-1	-1	100	-1	-1	-1	-1	-1	-1	0	1	2	3000	-1	-1	Ta ði«n r°i	7	-1
20	V¸ ¿½ng Ð° Tß¶ng 	10201020	1	4	10	20103010	70	20103070	55	20103099	64	20308020	1	-1	-1	110	-1	-1	-1	-1	-1	-1	0	1	2	3000	-1	-1	Ta ði«n r°i	7	-1
21	Thanh Ð°ng Nhçn Ð° Tß¶ng 	10202011	1	4	1	20103001	25	20103061	10	20103097	12	20308021	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	3	3000	-1	-1	Ta ði«n r°i	7	-1
22	Khi Sß½ng Kiªm Ð° Tß¶ng 	10202012	1	4	2	20103002	30	20103062	15	20103097	15	20308022	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	3	3000	-1	-1	Ta ði«n r°i	7	-1
23	Phá Quân Kiªm Ð° Tß¶ng 	10202013	1	4	3	20103003	35	20103063	20	20103097	21	20308023	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	3	3000	-1	-1	Ta ði«n r°i	7	-1
24	Ngô Câu Kiªm Ð° Tß¶ng 	10202014	1	4	4	20103004	40	20103064	25	20103098	24	20308024	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	3	3000	-1	-1	Ta ði«n r°i	7	-1
25	Bª Nguy®t Xú Quang Kiªm Ð° Tß¶ng 	10202015	1	4	5	20103005	45	20103065	30	20103098	27	20308025	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	3	3000	-1	-1	Ta ði«n r°i	7	-1
26	ÐoÕn Ng÷c Kiªm Ð° Tß¶ng 	10202016	1	4	6	20103006	50	20103066	35	20103098	33	20308026	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	3	3000	-1	-1	Ta ði«n r°i	7	-1
27	Thiên Bào Kiªm Ð° Tß¶ng 	10202017	1	4	7	20103007	55	20103067	40	20103099	48	20308027	1	-1	-1	80	-1	-1	-1	-1	-1	-1	0	1	3	3000	-1	-1	Ta ði«n r°i	7	-1
28	Xích Tiêu BÕch Ðª Ð° Tß¶ng 	10202018	1	4	8	20103008	60	20103068	45	20103099	52	20308028	1	-1	-1	90	-1	-1	-1	-1	-1	-1	0	1	3	3000	-1	-1	Ta ði«n r°i	7	-1
29	Công B¯ Ð° Tß¶ng 	10202019	1	4	9	20103009	65	20103069	50	20103099	60	20308029	1	-1	-1	100	-1	-1	-1	-1	-1	-1	0	1	3	3000	-1	-1	Ta ði«n r°i	7	-1
30	Long Uyên Ð° Tß¶ng 	10202020	1	4	10	20103010	70	20103070	55	20103099	64	20308030	1	-1	-1	110	-1	-1	-1	-1	-1	-1	0	1	3	3000	-1	-1	Ta ði«n r°i	7	-1
31	Li­u Di®p Song Ðao Ð° Tß¶ng 	10203011	1	4	1	20103001	25	20103061	10	20103097	12	20308031	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	4	3000	-1	-1	Ta ði«n r°i	7	-1
32	Linh Xà Song Kiªm Ð° Tß¶ng 	10203012	1	4	2	20103002	30	20103062	15	20103097	15	20308032	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	4	3000	-1	-1	Ta ði«n r°i	7	-1
