INT	STRING	INT	INT
场景ID	Name$1$	场景ID	所属商区
0	洛陽	0	1
1	蘇州	1	2
2	大理	2	3
3	雁南正南	205	4
4	雁北正西	206	5
5	西湖正西	207	6
6	龍泉正北	208	7
7	蒼山正西	209	8
8	洱海正西	210	9
9	草原正西	211	10
10	遼西西北	212	11
11	武夷正西	213	12
12	梅嶺西北	214	13
13	石林正南	215	14
14	玉溪西南	216	15
15	長白山西北	217	16
16	黃龍府西北	218	17
17	南海正北	219	18
18	瓊州正西	220	19
19	南詔西南	221	20
20	苗疆正東	222	21
21	雁南正南	223	4
22	雁北正西	224	5
23	西湖正西	225	6
24	龍泉正北	226	7
25	蒼山正西	227	8
26	洱海正西	228	9
27	草原正西	229	10
28	遼西西北	230	11
29	武夷正西	231	12
30	梅嶺西北	232	13
31	石林正南	233	14
32	玉溪西南	234	15
33	長白山西北	235	16
34	黃龍府西北	236	17
35	南海正北	237	18
36	瓊州正西	238	19
37	南詔西南	239	20
38	苗疆正東	240	21
39	雁南正南	241	4
40	雁北正西	242	5
41	西湖正西	243	6
42	龍泉正北	244	7
43	蒼山正西	245	8
44	洱海正西	246	9
45	草原正西	247	10
46	遼西西北	248	11
47	武夷正西	249	12
48	梅嶺西北	250	13
49	石林正南	251	14
50	玉溪西南	252	15
51	長白山西北	253	16
52	黃龍府西北	254	17
53	南海正北	255	18
54	瓊州正西	256	19
55	南詔西南	257	20
56	苗疆正東	258	21
57	雁南正南	259	4
58	雁北正西	260	5
59	西湖正西	261	6
60	龍泉正北	262	7
61	蒼山正西	263	8
62	洱海正西	264	9
63	草原正西	265	10
64	遼西西北	266	11
65	武夷正西	267	12
66	梅嶺西北	268	13
67	石林正南	269	14
68	玉溪西南	270	15
69	長白山西北	271	16
70	黃龍府西北	272	17
71	南海正北	273	18
72	瓊州正西	274	19
73	南詔西南	275	20
74	苗疆正東	276	21
75	雁南正南	277	4
76	雁北正西	278	5
77	西湖正西	279	6
78	龍泉正北	280	7
79	蒼山正西	281	8
80	洱海正西	282	9
81	草原正西	283	10
82	遼西西北	284	11
83	武夷正西	285	12
84	梅嶺西北	286	13
85	石林正南	287	14
86	玉溪西南	288	15
87	長白山西北	289	16
88	黃龍府西北	290	17
89	南海正北	291	18
90	瓊州正西	292	19
91	南詔西南	293	20
92	苗疆正東	294	21
93	雁南正南	295	4
94	雁北正西	296	5
95	西湖正西	297	6
96	龍泉正北	298	7
97	蒼山正西	299	8
98	洱海正西	300	9
99	草原正西	301	10
100	遼西西北	302	11
101	武夷正西	303	12
102	梅嶺西北	304	13
103	石林正南	305	14
104	玉溪西南	306	15
105	長白山西北	307	16
106	黃龍府西北	308	17
107	南海正北	309	18
108	瓊州正西	310	19
109	南詔西南	311	20
110	苗疆正東	312	21
111	雁南正南	597	4
112	雁北正西	598	5
113	西湖正西	599	6
114	龍泉正北	600	7
115	蒼山正西	601	8
116	洱海正西	602	9
117	草原正西	603	10
118	遼西西北	604	11
119	武夷正西	605	12
120	梅嶺西北	606	13
121	石林正南	607	14
122	玉溪西南	608	15
123	長白山西北	609	16
124	黃龍府西北	610	17
125	南海正北	611	18
126	瓊州正西	612	19
127	南詔西南	613	20
128	苗疆正東	614	21
129	雁南正南	615	4
130	雁北正西	616	5
131	西湖正西	617	6
132	龍泉正北	618	7
133	蒼山正西	619	8
134	洱海正西	620	9
135	草原正西	621	10
136	遼西西北	622	11
137	武夷正西	623	12
138	梅嶺西北	624	13
139	石林正南	625	14
140	玉溪西南	626	15
141	長白山西北	627	16
142	黃龍府西北	628	17
143	南海正北	629	18
144	瓊州正西	630	19
145	南詔西南	631	20
146	苗疆正東	632	21
147	雁南正南	633	4
148	雁北正西	634	5
149	西湖正西	635	6
150	龍泉正北	636	7
151	蒼山正西	637	8
152	洱海正西	638	9
153	草原正西	639	10
154	遼西西北	640	11
155	武夷正西	641	12
156	梅嶺西北	642	13
157	石林正南	643	14
158	玉溪西南	644	15
159	長白山西北	645	16
160	黃龍府西北	646	17
161	南海正北	647	18
162	瓊州正西	648	19
163	南詔西南	649	20
164	苗疆正東	650	21
165	雁南正南	651	4
166	雁北正西	652	5
167	西湖正西	653	6
168	龍泉正北	654	7
169	蒼山正西	655	8
170	洱海正西	656	9
171	草原正西	657	10
172	遼西西北	658	11
173	武夷正西	659	12
174	梅嶺西北	660	13
175	石林正南	661	14
176	玉溪西南	662	15
177	長白山西北	663	16
178	黃龍府西北	664	17
179	南海正北	665	18
180	瓊州正西	666	19
181	南詔西南	667	20
182	苗疆正東	668	21
183	雁南正南	669	4
184	雁北正西	670	5
185	西湖正西	671	6
186	龍泉正北	672	7
187	蒼山正西	673	8
188	洱海正西	674	9
189	草原正西	675	10
190	遼西西北	676	11
191	武夷正西	677	12
192	梅嶺西北	678	13
193	石林正南	679	14
194	玉溪西南	680	15
195	長白山西北	681	16
196	黃龍府西北	682	17
197	南海正北	683	18
198	瓊州正西	684	19
199	南詔西南	685	20
200	苗疆正東	686	21
201	雁南正南	687	4
202	雁北正西	688	5
203	西湖正西	689	6
204	龍泉正北	690	7
205	蒼山正西	691	8
206	洱海正西	692	9
207	草原正西	693	10
208	遼西西北	694	11
209	武夷正西	695	12
210	梅嶺西北	696	13
211	石林正南	697	14
212	玉溪西南	698	15
213	長白山西北	699	16
214	黃龍府西北	700	17
215	南海正北	701	18
216	瓊州正西	702	19
217	南詔西南	703	20
218	苗疆正東	704	21
