INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
ÕäÊÞ±àºÅ	ÕäÊÞÃû³Æ$1$	ÕäÊÞÃèÊö$1$	ÕäÊÞ³öÏÖ¼¸ÂÊ	ÕäÊÞ³öÏÖ¼¸ÂÊ	ÕäÊÞ³öÏÖ¼¸ÂÊ	ÕäÊÞ³öÏÖ¼¸ÂÊ	ÕäÊÞ³öÏÖ¼¸ÂÊ	ÕäÊÞ³öÏÖ¼¸ÂÊ	ÕäÊÞ³öÏÖ¼¸ÂÊ	ÕäÊÞ³öÏÖ¼¸ÂÊ	ÕäÊÞ³öÏÖ¼¸ÂÊ	ÕäÊÞ³öÏÖ¼¸ÂÊ	ÕäÊÞ³öÏÖ¼¸ÂÊ	ÕäÊÞ³öÏÖ¼¸ÂÊ	ÕäÊÞ³öÏÖ¼¸ÂÊ	ÕäÊÞ³öÏÖ¼¸ÂÊ
3000	Th¯ Trß·ng Thành	"#B Huy«n Vû Ðäo #{_INFOAIM130,86,112,-1}#W"	68	10000	10000	1250	500	361	1000	1000	1000	1000	1000	1000	500	361
3001	Th¯ Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM130,86,112,-1}#W"	100	0	0	0	0	0	1000	1000	1000	1000	1000	1000	0	0
3009	Th¯ TØ Bäo Bäo	"#B Huy«n Vû Ðäo #{_INFOAIM130,86,112,-1}#W"	250	0	0	0	0	0	1000	1000	1000	1000	1000	1000	0	0
3010	Yªn TØ Trß·ng Thành	"#B Huy«n Vû Ðäo #{_INFOAIM54,65,112,-1}#W"	34	0	0	1250	500	357	1000	1000	1000	1000	1000	1000	500	357
3011	Yªn TØ Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM54,65,112,-1}#W"	50	0	0	0	0	0	1000	1000	1000	1000	1000	1000	0	0
3019	Yªn TØ Bäo Bäo	"#B Huy«n Vû Ðäo #{_INFOAIM54,65,112,-1}#W"	250	0	0	0	0	0	1000	1000	1000	1000	1000	1000	0	0
3020	Quy Trß·ng Thành	"#B Huy«n Vû Ðäo #{_INFOAIM169,66,112,-1}#W"	34	0	0	0	0	0	1000	1000	1000	1000	1000	1000	0	0
3021	Quy Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM169,66,112,-1}#W"	50	0	0	0	0	0	1000	1000	1000	1000	1000	1000	0	0
3029	Quy Bäo Bäo	"#B Huy«n Vû Ðäo #{_INFOAIM169,66,112,-1}#W"	250	0	0	0	0	0	1000	1000	1000	1000	1000	1000	0	0
3030	C¦u TØ Trß·ng Thành	"#B Huy«n Vû Ðäo #{_INFOAIM234,57,112,-1}#W"	68	0	0	1250	500	357	1000	1000	1000	1000	1000	1000	500	357
3031	C¦u TØ Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM234,57,112,-1}#W"	100	0	0	0	0	0							0	0
3039	C¦u TØ Bäo Bäo	"#B Huy«n Vû Ðäo #{_INFOAIM234,57,112,-1}#W"	250	0	0	0	0	0							0	0
3040	Nhím Trß·ng Thành	"#B Huy«n Vû Ðäo #{_INFOAIM139,111,112,-1}#W"	34	0	0	1250	500	357							500	357
3041	Nhím Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM139,111,112,-1}#W"	50	0	0	0	0	0							0	0
3049	Nhím Bäo Bäo	"#B Huy«n Vû Ðäo #{_INFOAIM139,111,112,-1}#W"	250	0	0	0	0	0							0	0
3050	H¥u TØ Trß·ng Thành	"#B Huy«n Vû Ðäo #{_INFOAIM203,69,112,-1}#W"	34	0	0	1250	500	357							500	357
3051	H¥u TØ Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM203,69,112,-1}#W"	50	0	0	0	0	0							0	0
3059	H¥u TØ Bäo Bäo	"#B Huy«n Vû Ðäo #{_INFOAIM203,69,112,-1}#W"	250	0	0	0	0	0							0	0
3060	Tùng ThØ Trß·ng Thành	"#B Huy«n Vû Ðäo #{_INFOAIM175,128,112,-1}#W"	36	0	0	1250	500	357							500	357
3061	Tùng ThØ Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM175,128,112,-1}#W"	25	0	0	0	0	0							0	0
3062	Tùng ThØ Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM175,128,112,-1}#W"	25	0	0	0	0	0							0	0
3069	Tùng ThØ Bäo Bäo	"#B Huy«n Vû Ðäo #{_INFOAIM175,128,112,-1}#W"	250	0	0	0	0	0							0	0
3070	Hoán Hùng Trß·ng Thành	"#B Huy«n Vû Ðäo #{_INFOAIM115,122,112,-1}#W"	34	0	0	1250	500	357							500	357
3071	Hoán Hùng Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM115,122,112,-1}#W"	25	0	0	0	0	0							0	0
3072	Hoán Hùng Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM115,122,112,-1}#W"	25	0	0	0	0	0							0	0
3079	Hoán Hùng Bäo Bäo	"#B Huy«n Vû Ðäo #{_INFOAIM115,122,112,-1}#W"	250	0	0	0	0	0							0	0
3080	Anh Vû Trß·ng Thành	"#B Huy«n Vû Ðäo #{_INFOAIM153,157,112,-1}#W"	34	0	0	1250	500	357							500	357
3081	Anh Vû Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM153,157,112,-1}#W"	25	0	0	0	0	0							0	0
3082	Anh Vû Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM153,157,112,-1}#W"	25	0	0	0	0	0							0	0
3089	Anh Vû Bäo Bäo	"#B Huy«n Vû Ðäo #{_INFOAIM153,157,112,-1}#W"	250	0	0	0	0	0							0	0
3090	Tích D¸ch Trß·ng Thành	"#B Huy«n Vû Ðäo #{_INFOAIM101,155,112,-1}#W"	34	0	0	0	500	357							500	357
3091	Tích D¸ch Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM101,155,112,-1}#W"	25	0	0	0	0	0							0	0
3092	Tích D¸ch Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM101,155,112,-1}#W"	25	0	0	0	0	0							0	0
3099	Tích D¸ch Bäo Bäo	"#B Huy«n Vû Ðäo #{_INFOAIM101,155,112,-1}#W"	250	0	0	0	0	0							0	0
3100	Bi¬n BÑc Trß·ng Thành	"#B Huy«n Vû Ðäo #{_INFOAIM228,166,112,-1}#W"	34	0	0	0	500	357							500	357
3101	Bi¬n BÑc Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM228,166,112,-1}#W"	25	0	0	0	0	0							0	0
3102	Bi¬n BÑc Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM228,166,112,-1}#W"	25	0	0	0	0	0							0	0
3109	Bi¬n BÑc Bäo Bäo	"#B Huy«n Vû Ðäo #{_INFOAIM228,166,112,-1}#W"	250	0	0	0	0	0							0	0
3110	Ðß¶ng Lang Trß·ng Thành	"#B Huy«n Vû Ðäo #{_INFOAIM59,151,112,-1}#W"	68	0	0	0	500	357							500	357
3111	Ðß¶ng Lang Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM59,151,112,-1}#W"	50	0	0	0	0	0							0	0
3112	Ðß¶ng Lang Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM59,151,112,-1}#W"	50	0	0	0	0	0							0	0
3119	Ðß¶ng Lang Bäo Bäo	"#B Huy«n Vû Ðäo #{_INFOAIM59,151,112,-1}#W"	250	0	0	0	0	0							0	0
3120	NgÕc Ngß Trß·ng Thành	"#B Huy«n Vû Ðäo #{_INFOAIM68,112,112,-1}#W"	68	0	0	0	500	357							500	357
3121	NgÕc Ngß Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM68,112,112,-1}#W"	50	0	0	0	0	0							0	0
3122	NgÕc Ngß Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM68,112,112,-1}#W"	50	0	0	0	0	0							0	0
3129	NgÕc Ngß Bäo Bäo	"#B Huy«n Vû Ðäo #{_INFOAIM68,112,112,-1}#W"	250	0	0	0	0	0							0	0
3130	Miêu Ð¥u ¿ng Trß·ng Thành	"#B Huy«n Vû Ðäo #{_INFOAIM61,218,112,-1}#W"	34	0	0	0	500	357							500	357
3131	Miêu Ð¥u ¿ng Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM61,218,112,-1}#W"	16	0	0	0	0	0							0	0
3132	Miêu Ð¥u ¿ng Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM61,218,112,-1}#W"	16	0	0	0	0	0							0	0
3133	Miêu Ð¥u ¿ng Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM61,218,112,-1}#W"	16	0	0	0	0	0							0	0
3139	Miêu Ð¥u ¿ng Bäo Bäo	"#B Huy«n Vû Ðäo #{_INFOAIM61,218,112,-1}#W"	250	0	0	0	0	0							0	0
3140	Ch°n Trß·ng Thành	"#B Huy«n Vû Ðäo #{_INFOAIM62,256,112,-1}#W"	36	0	0	0	500	357							500	357
3141	Ch°n Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM62,256,112,-1}#W"	16	0	0	0	0	0							0	0
3142	Ch°n Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM62,256,112,-1}#W"	16	0	0	0	0	0							0	0
3143	Ch°n Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM62,256,112,-1}#W"	16	0	0	0	0	0							0	0
3149	Ch°n Bäo Bäo	"#B Huy«n Vû Ðäo #{_INFOAIM62,256,112,-1}#W"	250	0	0	0	0	0							0	0
3150	H± Trß·ng Thành	"#B Huy«n Vû Ðäo #{_INFOAIM96,254,112,-1}#W"	136	0	0	0	500	357							500	357
3151	H± Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM96,254,112,-1}#W"	64	0	0	0	0	0							0	0
3152	H± Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM96,254,112,-1}#W"	64	0	0	0	0	0							0	0
3153	H± Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM96,254,112,-1}#W"	64	0	0	0	0	0							0	0
3159	H± Bäo Bäo	"#B Huy«n Vû Ðäo #{_INFOAIM96,254,112,-1}#W"	250	0	0	0	0	0							0	0
3160	Dã Trß Trß·ng Thành	"#B Huy«n Vû Ðäo #{_INFOAIM127,254,112,-1}#W"	36	0	0	0	500	357							500	357
3161	Dã Trß Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM127,254,112,-1}#W"	16	0	0	0	0	0							0	0
3162	Dã Trß Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM127,254,112,-1}#W"	16	0	0	0	0	0							0	0
3163	Dã Trß Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM127,254,112,-1}#W"	16	0	0	0	0	0							0	0
3169	Dã Trß Bäo Bäo	"#B Huy«n Vû Ðäo #{_INFOAIM127,254,112,-1}#W"	250	0	0	0	0	0							0	0
3170	Bång T¢m Trß·ng Thành	"#B Huy«n Vû Ðäo #{_INFOAIM192,232,112,-1}#W"	68	0	0	0	500	357							500	357
3171	Bång T¢m Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM192,232,112,-1}#W"	24	0	0	0	0	0							0	0
3172	Bång T¢m Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM192,232,112,-1}#W"	24	0	0	0	0	0							0	0
3173	Bång T¢m Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM192,232,112,-1}#W"	24	0	0	0	0	0							0	0
3174	Bång T¢m Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM192,232,112,-1}#W"	24	0	0	0	0	0							0	0
3179	Bång T¢m Bäo Bäo	"#B Huy«n Vû Ðäo #{_INFOAIM192,232,112,-1}#W"	250	0	0	0	0	0							0	0
