INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	INT	STRING	STRING	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
MissionIndex	MissionId	ÈÎÎñÀàÐÍ(¿Í»§¶Ë)	Ðúng·ñTinhÓ¢(¿Í»§¶Ë)	Ðúng·ñÏÔÊ¾Íê³É(¿Í»§¶Ë)	»·Êý(¿Í»§¶Ë)	Hoàn t¤t nhi®m vøtoÕ ðµ NpctoÕ ðµ ×ø±ê(X)	Hoàn t¤t nhi®m vøtoÕ ðµ NpctoÕ ðµ ×ø±ê(Y)	ÈÎÎñÃû³Æ$1$	Møc tiêu nhi®m vø$1$	ÈÎÎñÏêÏ¸ÃèÊö$1$	ÈÎÎñ¼ÌÐøÐÅÏ¢$1$	ÈÎÎñÍê³ÉÐÅÏ¢$1$	½øÈëÇøÓòÐúng·ñÓÐ¶Ô°×	½øÈëÇøÓòtoÕ ðµ ¶Ô°×$1$	½øÈëÇøÓòtoÕ ðµ ÌáÊ¾$1$	Tiªp thøÈÎÎñ³¡¾°ID	Tiªp thøÈÎÎñNpcName$1$	Tiªp thøÈÎÎñNpcGuid	Hoàn t¤t nhi®m vø³¡¾°ID	Hoàn t¤t nhi®m vøNpcName$1$	Hoàn t¤t nhi®m vøNpcGuid	ÈÎÎñÐèÇóµÈ¼¶	Ç°ÐøÈÎÎñId1	Ç°ÐøÈÎÎñId2	Ç°ÐøÈÎÎñId3	½øÈëÇøÓò×ÜÊý	ÇøÓòËùTÕi ³¡¾°1	ÇøÓò1	ÇøÓòËùTÕi ³¡¾°2	ÇøÓò2	ÇøÓòËùTÕi ³¡¾°3	ÇøÓò3	½ðÇ®½±Àø	Kinh nghi®m½±Àø	¹Ì¶¨ÎïÆ·½±Àø1	cáiÊý1	¹Ì¶¨ÎïÆ·½±Àø2	cáiÊý2	¹Ì¶¨ÎïÆ·½±Àø3	cáiÊý3	¹Ì¶¨ÎïÆ·½±Àø4	cáiÊý4	¹Ì¶¨ÎïÆ·½±Àø5	cáiÊý5	¿ÉÑ¡ÎïÆ·½±Àø1	cáiÊý1	¿ÉÑ¡ÎïÆ·½±Àø2	cáiÊý2	¿ÉÑ¡ÎïÆ·½±Àø3	cáiÊý3	¿ÉÑ¡ÎïÆ·½±Àø4	cáiÊý4	¿ÉÑ¡ÎïÆ·½±Àø5	cáiÊý5	Òþ²Ø½±ÀøÎïÆ·1	cáiÊý1	Òþ²Ø½±ÀøÎïÆ·2	cáiÊý2	Òþ²Ø½±ÀøÎïÆ·3	cáiÊý3	ºóÐøÈÎÎñINDEX
#ÎÞÁ¿É½																																																													
1020000	495	17	0	1	0	240	175	Vô Lßþng Ng÷c Bích	#{MIS_TAR_ADD_183}	#{Mis_E_Wuliang_1020000}	  #{WLS_20080311_01}	  #{WLS_20080311_02}	1	  #{WLS_20080311_11}	Nhìn xa ðã th¤y Vô Lßþng Ng÷c Bích	6	Tân Song Thanh	0	6	Tân Song Thanh	0	3	-1	-1	-1	1	6	611					133	1460	10410060	1																									
#Ê¯ÁÖ																																																													
1020070	604	37	0	1	0	182	163	L¶i kêu g÷i lß½ng thi®n	#{MIS_TAR_ADD_185}	#{Mis_E_Shilin_1020070}	  #{WLS_20080311_03}	  #{WLS_20080311_04}	0		Ðã tìm th¤y Phøng Hoàng Lßu S½ r°i!	26	Tr¸nh Huy«n	0	26	Tr¸nh Huy«n	0	55	602	-1	-1	1	26	2611					21800	7800											10410070	1	10412070	1													
#Nam Chiêu																																																													
1020060	621	39	0	1	0	150	49	Ðàn Tª H° Ði®p Th¥n	#{MIS_TAR_ADD_187}	#{Mis_E_Nanzhao_1020060}	  #{WLS_20080311_05}	  #{WLS_20080311_06}	0		Ðã tìm th¤y Tª Ðàn H° Ði®p Th¥n!	28	A Vßþng	0	28	A Vßþng	0	84	-1	-1	-1	1	28	2811					66000	56000																											1000161
#75Ó¢ÐÛÈÎÎñ																																																													
1020100	260	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- BÕch viên thÕch tr§n	#{MIS_TAR_ADD_189}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		Ðã thám thính Vô Lßþng S½n BÕch viên thÕch tr§n	2	Tr¥m Quát	0	2	Tr¥m Quát	0	75	250	-1	-1	1	6	612					5000	30000																											1020101
1020101	261	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- Kiªm môn ði®p thuý	#{MIS_TAR_ADD_190}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		Ðã thám thính Kiªm Các kiªm môn ði®p thúy	2	Tr¥m Quát	0	2	Tr¥m Quát	0	75	260	-1	-1	1	7	711					5000	30000																											1020102
