INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
³èÎï±àºÅ	Ãû³Æ$1$	³èÎïÀàÐÍ	¿ÉÐ¯´øµÈ¼¶	ÕóÓª	ÊÇ·ñ±äÒì	ÊÇ·ñ±¦±¦	Ê³ÎïÀà	ËùÄÜÑ§µÄ¼¼ÄÜÊý	Ö÷¶¯¼¼ÄÜ	Ö÷¶¯¼¼ÄÜÉú³É¼¸ÂÊ£¨1/100w£©	Ö÷¶¯¼¼ÄÜ2	Ö÷¶¯¼¼ÄÜ2Éú³É¼¸ÂÊ£¨1/100w£©	±»¶¯¼¼ÄÜ1	±»¶¯¼¼ÄÜ1Éú³É¼¸ÂÊ£¨1/100W£©	±»¶¯¼¼ÄÜ2	±»¶¯¼¼ÄÜ2Éú³É¼¸ÂÊ£¨1/100W£©	±»¶¯¼¼ÄÜ3	±»¶¯¼¼ÄÜ3Éú³É¼¸ÂÊ£¨1/100W£©	±»¶¯¼¼ÄÜ4	±»¶¯¼¼ÄÜ4Éú³É¼¸ÂÊ£¨1/100W£©	±»¶¯¼¼ÄÜ5	±»¶¯¼¼ÄÜ5Éú³É¼¸ÂÊ£¨1/100W£©	±»¶¯¼¼ÄÜ6	±»¶¯¼¼ÄÜ6Éú³É¼¸ÂÊ£¨1/100W£©	±»¶¯¼¼ÄÜ7	±»¶¯¼¼ÄÜ7Éú³É¼¸ÂÊ£¨1/100W£©	±»¶¯¼¼ÄÜ8	±»¶¯¼¼ÄÜ8Éú³É¼¸ÂÊ£¨1/100W£©	±»¶¯¼¼ÄÜ9	±»¶¯¼¼ÄÜ9Éú³É¼¸ÂÊ£¨1/100W£©	±»¶¯¼¼ÄÜ10	±»¶¯¼¼ÄÜ10Éú³É¼¸ÂÊ£¨1/100W£©	±ê×¼ÊÙÃü	±ê×¼Á¦Á¿×ÊÖÊ	±ê×¼ÌåÖÊ×ÊÖÊ	±ê×¼ÁéÆø×ÊÖÊ	±ê×¼Éí·¨×ÊÖÊ	±ê×¼¶¨Á¦×ÊÖÊ	³É³¤ÂÊ1	³É³¤ÂÊ2	³É³¤ÂÊ3	³É³¤ÂÊ4	³É³¤ÂÊ5	µ¨Ð¡(1/1000)	½÷É÷(1/1000)	ÖÒ³Ï(1/1000)	¾«Ã÷(1/1000)	ÓÂÃÍ(1/1000)	³èÎï·±Ö³Ê±¼ä(ms)	Í¬Àà²Î¿¼ÕäÊÞÀàÐÍ
558	Phiêu Phiêu Áp	298	1	9	1	0	11	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	64800	1000	1000	1000	1000	1000	500	550	575	650	750	900	50	20	20	10	120000	558
559	Phiêu Phiêu Th¯	299	1	9	1	0	100	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	64800	1000	1000	1000	1000	1000	500	550	575	650	750	900	50	20	20	10	120000	559
3000	Th¯ Trß·ng Thành	300	5	9	0	0	100	10	688	100000	-1	-1	670	900000	668	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	1142	1304	2120	1304	1794	540	594	621	702	810	150	800	20	20	10	120000	3000
3001	Th¯ Biªn D¸	300	5	9	1	0	100	10	688	100000	-1	-1	670	900000	668	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	1484	1696	2758	1696	2332	540	594	621	702	810	150	800	20	20	10	120000	3000
3009	Th¯ TØ Bäo Bäo	300	5	9	0	1	100	10	688	100000	-1	-1	670	900000	668	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	1142	1304	2120	1304	1794	540	594	621	702	810	150	800	20	20	10	120000	3000
3010	Yªn TØ Trß·ng Thành	301	5	9	0	0	11	10	739	100000	-1	-1	712	900000	726	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	1632	1468	1304	2120	1142	540	594	621	702	810	10	20	800	20	150	120000	3010
3011	Yªn TØ Biªn D¸	301	5	9	1	0	11	10	739	100000	-1	-1	712	900000	726	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	2120	1908	1696	2758	1484	540	594	621	702	810	10	20	800	20	150	120000	3010
3019	Yªn TØ Bäo Bäo	301	5	9	0	1	11	10	739	100000	-1	-1	712	900000	726	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	1632	1468	1304	2120	1142	540	594	621	702	810	10	20	800	20	150	120000	3010
3020	Quy Trß·ng Thành	302	5	9	0	0	1000	10	690	300000	-1	-1	658	900000	702	50000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	1468	2120	1304	1304	1468	540	594	621	702	810	800	150	20	20	10	120000	3020
