INT	INT
宠物携带等级	升级经验
1	5000
2	5000
3	5000
4	5000
5	5000
6	6000
7	6000
8	6000
9	6000
10	6000
11	6000
12	6000
13	6000
14	6000
15	6000
16	7000
17	7000
18	7000
19	7000
20	7000
21	7000
22	7000
23	7000
24	7000
25	7000
26	10000
27	10000
28	10000
29	10000
30	10000
31	10000
32	10000
33	10000
34	10000
35	10000
36	15000
37	15000
38	15000
39	15000
40	15000
41	15000
42	15000
43	15000
44	15000
45	15000
46	25000
47	25000
48	25000
49	25000
50	25000
51	25000
52	25000
53	25000
54	25000
55	25000
56	40000
57	40000
58	40000
59	40000
60	40000
61	40000
62	40000
63	40000
64	40000
65	40000
66	55000
67	55000
68	55000
69	55000
70	55000
71	55000
72	55000
73	55000
74	55000
75	55000
76	70000
77	70000
78	70000
79	70000
80	70000
81	70000
82	70000
83	70000
84	70000
85	70000
86	85000
87	85000
88	85000
89	85000
90	85000
91	85000
92	85000
93	85000
94	85000
95	85000
96	100000
97	100000
98	100000
99	100000
100	100000
101	100000
102	100000
103	100000
104	100000
105	100000
106	115000
107	115000
108	115000
109	115000
110	115000
111	115000
112	115000
113	115000
114	115000
115	115000
116	130000
117	130000
118	130000
119	130000
120	130000
121	130000
122	130000
123	130000
124	130000
125	130000
126	145000
127	145000
128	145000
129	145000
130	145000
131	145000
132	145000
133	145000
134	145000
135	145000
136	160000
137	160000
138	160000
139	160000
140	160000
141	160000
142	160000
143	160000
144	160000
145	160000
146	175000
147	175000
148	175000
149	175000
150	175000
151	175000
152	175000
153	175000
154	175000
155	175000
156	175000
157	175000
158	175000
159	175000
160	175000
161	175000
162	175000
163	175000
164	175000
165	175000
166	175000
167	175000
168	175000
169	175000
170	175000
171	175000
172	175000
173	175000
174	175000
175	175000
176	175000
177	175000
178	175000
179	175000
180	175000
181	175000
182	175000
183	175000
184	175000
185	175000
186	175000
187	175000
188	175000
189	175000
190	175000
191	175000
192	175000
193	175000
194	175000
195	175000
196	175000
197	175000
198	175000
199	175000
200	175000
201	175000
202	175000
203	175000
204	175000
205	175000
206	175000
207	175000
208	175000
209	175000
210	175000
211	175000
212	175000
213	175000
214	175000
215	175000
216	175000
217	175000
218	175000
219	175000
220	175000
221	175000
222	175000
223	175000
224	175000
225	175000
226	175000
227	175000
228	175000
229	175000
230	175000
231	175000
232	175000
233	175000
234	175000
235	175000
236	175000
237	175000
238	175000
239	175000
240	175000
241	175000
242	175000
243	175000
244	175000
245	175000
246	175000
247	175000
248	175000
249	175000
250	175000
251	175000
252	175000
253	175000
254	175000
255	175000
