INT	INT
宠物等级	升级经验
1	1
2	3
3	6
4	11
5	17
6	26
7	36
8	49
9	56
10	60
11	65
12	72
13	79
14	90
15	104
16	119
17	139
18	163
19	193
20	203
21	241
22	284
23	334
24	391
25	459
26	540
27	629
28	728
29	836
30	865
31	1009
32	1165
33	1333
34	1513
35	1705
36	1910
37	2006
38	2225
39	2382
40	2459
41	2699
42	2955
43	3228
44	3517
45	3823
46	4147
47	4339
48	4606
49	4793
50	4971
51	5139
52	5405
53	5789
54	6190
55	6610
56	6767
57	7207
58	7665
59	8143
60	8640
61	8775
62	9290
63	9824
64	10379
65	10716
66	11074
67	11738
68	12474
69	13283
70	13524
71	14444
72	15441
73	16517
74	17675
75	18073
76	19454
77	20980
78	22656
79	24486
80	25611
81	27636
82	30934
83	35767
84	42280
85	50496
86	60305
87	71459
88	83565
89	96079
90	108293
91	119337
92	128163
93	133542
94	147465
95	160126
96	170776
97	178567
98	208624
99	242202
100	246051
101	250005
102	254065
103	258234
104	262513
105	266906
106	271414
107	276039
108	280784
109	285650
110	290641
111	295757
112	301001
113	306376
114	311883
115	317525
116	323304
117	329222
118	335280
119	341482
120	347830
121	354325
122	360970
123	367767
124	374717
125	381825
126	389090
127	396516
128	404105
129	411858
130	419779
131	427869
132	436130
133	444565
134	453175
135	461964
136	470932
137	480083
138	489417
139	498939
140	508648
141	518549
142	528643
143	538931
144	549418
145	579435
146	613261
147	651183
148	693493
149	740490
150	740490
151	740490
152	740490
153	740490
154	740490
155	740490
156	740490
157	740490
158	740490
159	740490
160	740490
161	740490
162	740490
163	740490
164	740490
165	740490
166	740490
167	740490
168	740490
169	740490
170	740490
171	740490
172	740490
173	740490
174	740490
175	740490
176	740490
177	740490
178	740490
179	740490
180	740490
181	740490
182	740490
183	740490
184	740490
185	740490
186	740490
187	740490
188	740490
189	740490
190	740490
191	740490
192	740490
193	740490
194	740490
195	740490
196	740490
197	740490
198	740490
199	740490
200	740490
201	740490
202	740490
203	740490
204	740490
205	740490
206	740490
207	740490
208	740490
209	740490
210	740490
211	740490
212	740490
213	740490
214	740490
215	740490
216	740490
217	740490
218	740490
219	740490
220	740490
221	740490
222	740490
223	740490
224	740490
225	740490
226	740490
227	740490
228	740490
229	740490
230	740490
231	740490
232	740490
233	740490
234	740490
235	740490
236	740490
237	740490
238	740490
239	740490
240	740490
241	740490
242	740490
243	740490
244	740490
245	740490
246	740490
247	740490
248	740490
249	740490
250	740490
251	740490
252	740490
253	740490
254	740490
255	740490
