INT	INT	INT	STRING
index	classID（和RecycleItemClass.txt里id对应）	typeID（自己定）	描述$1$
0	1	1	礦石
1	1	2	鍛石
2	1	3	鑄鐵
3	2	1	魚類
4	2	2	糧食
5	2	3	肉類
6	2	4	調料
7	2	5	烹飪輔料
8	3	1	藥材
9	3	2	藥引
10	3	3	藥品輔料
11	3	4	藥品配料
12	4	1	織物
13	4	2	紉革
14	4	3	布片
15	4	4	時裝材料
16	5	1	礦石
17	5	2	煉玉
18	6	1	刀斧打造圖
19	6	2	槍棒打造圖
20	6	3	單短打造圖
21	6	4	雙短打造圖
22	6	5	扇打造圖
23	6	6	環打造圖
24	6	7	帽子打造圖
25	6	8	衣服打造圖
26	6	9	手套打造圖
27	6	10	鞋子打造圖
28	6	11	項鏈打造圖
29	6	12	戒指打造圖
30	6	13	護符打造圖
31	6	14	護腕打造圖
32	6	15	護肩打造圖
33	6	16	腰帶打造圖
34	7	1	萬靈石
35	7	2	打孔材料
36	7	3	雜物
37	2	6	食材
