INT	STRING
对话序号	对话内容$1$
0	空著就好了
1	    前一段聽說世子還在大理城，後來聽說是去了中原了。
2	    聽從中原回來的朋友說，鎮南王府世子曾在蘇州一帶出現過。
3	    鎮南王府世子喜愛遊歷天下，一時要問消息，卻也不太準確，據說他曾去了蘇州。
4	    別的不知，只是聽無錫的好友說，曾見鎮南王世子與個大漢在酒肆中飲酒。
5	    噓，此事萬萬不可與別人知道，聽說鎮南王世子是被一個胡僧擄走了。
6	    哦哦，世子的文采驚人，佳文一定轉交給孟先生。
7	    阿彌陀佛，善哉善哉，大理鎮南王的世子聰慧過人，與我佛頗為有緣，長此精研佛理，功莫大矣。
8	    善哉善哉，貧僧先拜讀了。
9	    阿彌陀佛，多謝%R奔波之勞，貧僧這裏揖手了。
10	    無量天尊，大理鎮南王的世子聰慧過人，道家經文研習頗有造詣，長此精研道理，功莫大矣。
11	    甚好甚好，貧道先拜讀了。
12	    無量天尊，多謝%R奔波之勞，貧道這裏揖手了。
13	    妙哉妙哉，真是絕妙好文，鎮南王世子聰慧過人，文理精深，令吾佩服不已。
14	    甚好甚好，待吾先拜讀拜讀。
15	    甚好，有勞%R代送文章。
16	    哼，請轉告那個大理的世子，我表妹的事不用他多管閒事。
17	    非也非也，非禮勿問才是君子之道，大理的世子莫非不是君子？
18	    王姑娘一直跟隨著公子爺，問她的消息告訴你卻也無妨。
19	    王姑娘一直跟隨著公子爺，問她的消息告訴你卻也無妨。
20	    王姑娘一直跟隨著公子爺，問她的消息告訴你卻也無妨。
21	    啊唷！信上是問王姑娘的消息？王姑娘一直跟著公子呢！
22	    信中居然是問嫣兒的消息，這孩子背著我偷偷的離開了曼陀山莊，我卻也不知道她的消息，想來跟著慕容家那小子了。
23	    公子的意思，我明白，我會替他打聽王……哦，打聽這個人的消息的。
24	    喬幫主……蕭大王……的盛情心領了，我們丐幫不受遼國人的恩惠。
25	    你竟然為遼國人送信，唉，可惜，可惜。
26	    我平生就佩服喬大哥一個人，唉，不想他卻是遼人。
27	    請轉告喬……蕭大哥，至少丐幫中我是不會忘了他的大恩大德的。
28	    我已聽說此事，事已至此，蕭兄又是出於無心，不必太過自責。
29	    我已聽正淳所說此事，唉，轉告貴王，既是無心，生死有命，不必自責了。
30	    再便如何說，我那苦命的阿朱也受此重創，如果能醫好便是了。
31	    我姐夫打傷我姐姐我可是親眼看到的，姐夫還答應姐姐要照顧我的。
32	    我趙錢孫雖然顛三倒四，但這帶頭大哥我是甯死也不會說的。
33	    那蕭峰就算將我銼骨揚灰，這帶頭大哥我也決意不會說的。
34	    你轉告蕭峰那遼狗，要從我這裏得到帶頭大哥的消息是決意不可能的。
