INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT
Index	class(基本类型)	Quality(品质)	Type(类别)	Index(物品号)	EquipPoint(装备点)	Visual	适应规则	套装编号	套装件数	Name(名称)$1$	Lv(需求等级)	Desc(说明)$1$	基本价格	出售价格	Max耐久	修理失败上限	镶嵌宝石上限	技能ID	脚本ID	行囊	格箱	增加HP的上限	百分比增加HP的上限	加快HP的回复速度	数增加MP的上限	百分比增加MP的上限	加快MP的回复速度	冰攻击	冰抵抗	减少冰冻迟缓时间	火攻击	火抵抗	减少火烧持续时间	电攻击	电抵抗	减少电击眩晕时间	毒攻击	毒抵抗	减少中毒时间	按百分比抵消所有属性攻击	物理攻击	按百分比增加物理攻击	对装备基础物理攻击百分比加成	物理防御	按百分比增加物理防御	对装备基础物理防御百分比加成	按百分比抵消物理伤害	魔法攻击	按百分比增加魔法攻击	对装备基础魔法攻击百分比加成	魔法防御	按百分比增加魔法防御	对装备基础魔法防御百分比加成	按百分比抵消魔法伤害	攻击速度(两次攻击间隔时间)	魔法冷却速度	命中	闪避	会心一击（双倍攻击）的百分比	无视对方防御比率	移动速度百分比	伤害反射	伤害由内力抵消	力量	灵气	体制	定力	身法	悟性	增加所有的人物一级属性	生命偷取	内力偷取	增加某个技能等级	增加所有技能等级	特殊技能发动概率	基础物理攻击下限	基础物理攻击上限	基础魔法攻击下限	基础魔法攻击上限	基础攻击速度下限(废弃)	基础攻击速度上限(废弃)	基础物理防御下限	基础物理防御上限	基础魔法防御下限	基础魔法防御上限	基础闪避下限	基础闪避上限	图标	类型描述	NameID	颜色	是否广播
10100000	1	1	0	0	0	410	1	-1	-1	青銅刀	1	新手武器，沒有什麼價值。（右鍵點擊即可裝備）	20	20	114	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword1_1	刀斧类	0	2000	0
10100001	1	1	0	1	0	412	1	-1	-1	潑風刀	10	青銅打造，刀體彎曲，沉重，力大如牛者使用。	180	180	125	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	28	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword1_3	刀斧类	2000	2000	0
10100002	1	1	0	2	0	416	1	-1	-1	折鐵刀	20	刀背寬大，刀刃厚而鈍，可斷鐵，故此得名。	540	540	137	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	48	-1	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword1_5	刀斧类	2001	2000	0
10100003	1	1	0	3	0	420	1	-1	-1	古月刀	30	通體銀色，刀身彎曲如象鼻，刀刃光滑鋒利，刀背可勾住敵人，威力一般。	1150	1150	150	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	68	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword1_9	刀斧类	2002	2000	0
10100004	1	1	0	4	0	419	1	-1	-1	開山鉞	40	其刃背形如彎月，曲而不直，可豎劈可橫砍。	1780	1780	162	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	88	-1	88	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword1_14	刀斧类	2003	2000	0
10100005	1	1	0	5	0	421	1	-1	-1	金背刀	50	刀身近柄持處小，刀刃彎曲向前至頂端，繼續彎向刀背，厚而有力，刀身飾有金色花紋。	2700	2700	175	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	108	-1	108	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword2_2	刀斧类	2004	2000	0
10100006	1	1	0	6	0	431	1	-1	-1	月牙鏟	60	前端是一個彎月形的鏟，內凹，月牙朝外，尾部是一個斧狀的鏟柄，末端開刃，前後都可攻擊敵人，讓人防不勝防。	3850	3850	187	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	128	-1	128	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword2_6	刀斧类	2005	2000	0
10100007	1	1	0	7	0	437	1	-1	-1	烈焰刀	70	通體金紅，猶如烈焰，氣勢逼人，攻城掠地。	5570	5570	200	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	148	-1	148	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword2_10	刀斧类	2006	2000	0
10100008	1	1	0	8	0	443	1	-1	-1	烏龍鏟	80	傳為古代名將所用，烏金打造，上刻游龍飛天，殺氣環繞。	7450	7450	212	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	168	-1	168	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword2_15	刀斧类	2007	2000	0
10100009	1	1	0	9	0	445	1	-1	-1	紫金刀	90	紫金石中提煉出的材質所鍛造的兵器，精緻無比。	9950	9950	225	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	188	-1	188	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword3_4	刀斧类	2008	2000	0
10100010	1	1	0	10	0	452	1	-1	-1	震天斧	100	此斧一出，震天動地。	16000	16000	237	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	208	-1	208	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword3_9	刀斧类	2009	2000	0
10100021	1	1	0	21	0	113	1	-1	-1	任務臨時佔用	100	100級標準，大刀類。	16000	16000	237	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	208	-1	208	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear1_11	刀斧类	999	2000	0
10100031	1	1	0	31	0	362	1	-1	-1	釣魚竿	10	初級釣魚竿。	180	180	125	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	MenpaiLiveSkill_13	工具	100	2000	0
10100100	1	1	0	100	0	410	1	-1	-1	大砍刀	1	新手武器，沒有什麼價值。（右鍵點擊即可裝備）	20	20	114	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword1_1	枪棒类	10	2000	0
