INT	STRING	INT	INT	INT	INT	INT	INT	INT
物品ID	名称$1$	掉落概率	是否发送消息	预留	预留	预留	预留	预留
30402012	高級借力技能書	47	1	47	0	0	0	0
30402014	高級移魂技能書	47	1	94	0	0	0	0
30402016	高級加速技能書	47	1	141	0	0	0	0
30402018	高級強身技能書	47	1	188	0	0	0	0
30402020	高級凝神技能書	47	1	235	0	0	0	0
30402026	高級血爆技能書	47	1	470	0	0	0	0
30402030	高級冰爆技能書	47	1	564	0	0	0	0
30402034	高級重生技能書	47	1	658	0	0	0	0
30402036	高級共生技能書	47	1	705	0	0	0	0
30402038	高級治療技能書	47	1	752	0	0	0	0
30402040	高級肉牆技能書	47	1	799	0	0	0	0
30402042	高級神佑技能書	47	1	846	0	0	0	0
30402044	高級嗜血技能書	47	1	893	0	0	0	0
30402046	高級血祭技能書	47	1	940	0	0	0	0
30402048	高級偽裝技能書	47	1	987	0	0	0	0
30402050	高級附身技能書	47	1	1034	0	0	0	0
30402056	高級反擊技能書	47	1	1081	0	0	0	0
30402060	高級反震技能書	47	1	1175	0	0	0	0
30402062	高級靈動技能書	47	1	1222	0	0	0	0
30402064	高級吸氣技能書	47	1	1269	0	0	0	0
30402066	高級打怒技能書	47	1	1316	0	0	0	0
30402068	高級忠心技能書	47	1	1363	0	0	0	0
30402070	高級靈氣技能書	47	1	1410	0	0	0	0
30402072	高級猛擊技能書	47	1	1457	0	0	0	0
30402074	高級識破技能書	47	1	1504	0	0	0	0
10100002	雲頭刀	57	0	1561	0	0	0	0
10100003	鳴鴻刀	57	0	1618	0	0	0	0
10100004	青龍偃月刀	46	0	1664	0	0	0	0
10100005	護手狼牙刀	34	0	1698	0	0	0	0
10100006	昭儀靈寶	23	0	1721	0	0	0	0
10100007	八荒蟬翼	11	0	1732	0	0	0	0
10101002	雁翎槍	57	0	1789	0	0	0	0
10101003	丈八蛇矛	57	0	1846	0	0	0	0
10101004	方天畫戟	46	0	1892	0	0	0	0
10101005	羅漢伏魔杵	34	0	1926	0	0	0	0
10101006	烈火戰槍	23	0	1949	0	0	0	0
10101007	夜叉神戟	11	0	1960	0	0	0	0
10102002	青鋒劍	57	0	2017	0	0	0	0
10102003	冰弦劍	57	0	2074	0	0	0	0
10102004	玄鐵劍	46	0	2120	0	0	0	0
10102005	赤霄劍	34	0	2154	0	0	0	0
10102006	金翎劍	23	0	2177	0	0	0	0
10102007	斬蛟寶刀	11	0	2188	0	0	0	0
10103002	鳳鳴劍	57	0	2245	0	0	0	0
10103003	翡翠雙劍	57	0	2302	0	0	0	0
10103004	子母劍	46	0	2348	0	0	0	0
10103005	龍鳳劍	34	0	2382	0	0	0	0
10103006	宣花雙斧	23	0	2405	0	0	0	0
10103007	蝶戀花	11	0	2416	0	0	0	0
10104002	絹宮扇	57	0	2473	0	0	0	0
10104003	象牙扇	57	0	2530	0	0	0	0
10104004	白玉扇	46	0	2576	0	0	0	0
10104005	火雲扇	34	0	2610	0	0	0	0
10104006	伏魔扇	23	0	2633	0	0	0	0
10104007	無形扇	11	0	2644	0	0	0	0
10105002	紫玉環	57	0	2701	0	0	0	0
10105003	冷霜環	57	0	2758	0	0	0	0
10105004	拂香環	46	0	2804	0	0	0	0
10105005	明月環	34	0	2838	0	0	0	0
10105006	多情環	23	0	2861	0	0	0	0
10105007	逍遙圈	11	0	2872	0	0	0	0
10110005	絹絲帽	57	0	2929	0	0	0	0
10110008	綾羅帽	57	0	2986	0	0	0	0
10110011	狼皮帽	46	0	3032	0	0	0	0
10110014	虎皮帽	34	0	3066	0	0	0	0
10110017	蒼蟒帽	23	0	3089	0	0	0	0
10110020	天璿帽	11	0	3100	0	0	0	0
10111005	絹絲鞋	57	0	3157	0	0	0	0
10111008	綾羅鞋	57	0	3214	0	0	0	0
10111011	狼皮鞋	46	0	3260	0	0	0	0
10111014	虎皮鞋	34	0	3294	0	0	0	0
10111017	蒼蟒鞋	23	0	3317	0	0	0	0
10111020	天璿鞋	11	0	3328	0	0	0	0
10112005	絹絲護腕	57	0	3385	0	0	0	0
10112008	綾羅護腕	57	0	3442	0	0	0	0
10112011	狼皮護腕	46	0	3488	0	0	0	0
10112014	虎皮護腕	34	0	3522	0	0	0	0
10112017	蒼蟒護腕	23	0	3545	0	0	0	0
10112020	天璿護腕	11	0	3556	0	0	0	0
10113005	絹絲衣	57	0	3613	0	0	0	0
10113008	綾羅衣	57	0	3670	0	0	0	0
10113011	狼皮衣	46	0	3716	0	0	0	0
10113014	虎皮衣	34	0	3750	0	0	0	0
10113017	蒼蟒衣	23	0	3773	0	0	0	0
10113020	天璿衣	11	0	3784	0	0	0	0
10120002	藍寶項鏈	57	0	3841	0	0	0	0
10120003	太極護符	57	0	3898	0	0	0	0
10120004	雲海鏈	46	0	3944	0	0	0	0
10120005	琥珀護符	34	0	3978	0	0	0	0
10120006	七情束	23	0	4001	0	0	0	0
10120007	情人淚	11	0	4012	0	0	0	0
10121002	如意腰帶	57	0	4069	0	0	0	0
10121003	明蛟腰帶	57	0	4126	0	0	0	0
10121004	北斗箍環	46	0	4172	0	0	0	0
10121005	天火環帶	34	0	4206	0	0	0	0
10121006	混天環帶	23	0	4229	0	0	0	0
10121007	神霄帶	11	0	4240	0	0	0	0
10122002	銀竹戒指	57	0	4297	0	0	0	0
10122003	百裂戒指	57	0	4354	0	0	0	0
10122004	如意戒指	46	0	4400	0	0	0	0
10122005	流影	34	0	4434	0	0	0	0
10122006	靈韻	23	0	4457	0	0	0	0
10122007	九宮	11	0	4468	0	0	0	0
20308002	刀斧打造圖2級	28	0	4496	0	0	0	0
20308003	刀斧打造圖3級	28	0	4524	0	0	0	0
20308004	刀斧打造圖4級	23	0	4547	0	0	0	0
20308005	刀斧打造圖5級	17	1	4564	0	0	0	0
20308006	刀斧打造圖6級	11	1	4575	0	0	0	0
20308007	刀斧打造圖7級	5	1	4580	0	0	0	0
20308012	槍棒打造圖2級	28	0	4608	0	0	0	0
20308013	槍棒打造圖3級	28	0	4636	0	0	0	0
20308014	槍棒打造圖4級	23	0	4659	0	0	0	0
20308015	槍棒打造圖5級	17	1	4676	0	0	0	0
20308016	槍棒打造圖6級	11	1	4687	0	0	0	0
20308017	槍棒打造圖7級	5	1	4692	0	0	0	0
20308022	單短打造圖2級	28	0	4720	0	0	0	0
20308023	單短打造圖3級	28	0	4748	0	0	0	0
20308024	單短打造圖4級	23	0	4771	0	0	0	0
20308025	單短打造圖5級	17	1	4788	0	0	0	0
20308026	單短打造圖6級	11	1	4799	0	0	0	0
20308027	單短打造圖7級	5	1	4804	0	0	0	0
20308032	雙短打造圖2級	28	0	4832	0	0	0	0
20308033	雙短打造圖3級	28	0	4860	0	0	0	0
20308034	雙短打造圖4級	23	0	4883	0	0	0	0
20308035	雙短打造圖5級	17	1	4900	0	0	0	0
20308036	雙短打造圖6級	11	1	4911	0	0	0	0
20308037	雙短打造圖7級	5	1	4916	0	0	0	0
20308042	扇打造圖2級	28	0	4944	0	0	0	0
20308043	扇打造圖3級	28	0	4972	0	0	0	0
20308044	扇打造圖4級	23	0	4995	0	0	0	0
20308045	扇打造圖5級	17	1	5012	0	0	0	0
20308046	扇打造圖6級	11	1	5023	0	0	0	0
20308047	扇打造圖7級	5	1	5028	0	0	0	0
20308052	環打造圖2級	28	0	5056	0	0	0	0
20308053	環打造圖3級	28	0	5084	0	0	0	0
20308054	環打造圖4級	23	0	5107	0	0	0	0
20308055	環打造圖5級	17	1	5124	0	0	0	0
20308056	環打造圖6級	11	1	5135	0	0	0	0
20308057	環打造圖7級	5	1	5140	0	0	0	0
20308062	帽子打造圖2級	28	0	5168	0	0	0	0
20308063	帽子打造圖3級	28	0	5196	0	0	0	0
20308064	帽子打造圖4級	23	0	5219	0	0	0	0
20308065	帽子打造圖5級	17	1	5236	0	0	0	0
20308066	帽子打造圖6級	11	1	5247	0	0	0	0
20308067	帽子打造圖7級	5	1	5252	0	0	0	0
20308072	衣服打造圖2級	28	0	5280	0	0	0	0
20308073	衣服打造圖3級	28	0	5308	0	0	0	0
20308074	衣服打造圖4級	23	0	5331	0	0	0	0
20308075	衣服打造圖5級	17	1	5348	0	0	0	0
20308076	衣服打造圖6級	11	1	5359	0	0	0	0
20308077	衣服打造圖7級	5	1	5364	0	0	0	0
20308082	護腕打造圖2級	28	0	5392	0	0	0	0
20308083	護腕打造圖3級	28	0	5420	0	0	0	0
20308084	護腕打造圖4級	23	0	5443	0	0	0	0
