INT	INT	INT	STRING
index	BeginDate	EndDate	info$1$
#<0>index	索引		
#<1>BeginDate	开始时间（例：20061204）		
#<2>EndDate	结束时间（例：20061204）		
#<3>info	消息内容		
#			
0	20061224	20061224	今天是平安夜，天龍八部祝你快樂。
1	20061225	20061225	今天是聖誕節，在白雪飄零的聖誕之刻，天龍八部祝您平安。
2	20070101	20070101	新年伊始，萬象更新，天龍八部祝您在新的一年裏，心想事成，萬事如意。
3	20070214	20070214	今天是西方的情人節，願天下有情人終成眷屬，天龍八部祝您永遠幸福。
4	20070217	20070217	今天除夕夜，火樹銀花，萬家團圓，天龍八部祝您度過一個美好的除夕夜。
5	20070218	20070224	新春快樂，龍馬精神，天龍八部祝您新年心想事成，平平安安。
6	20070304	20070304	元宵佳節鬧花燈，天龍八部喜相逢。祝您元宵節快樂。
7	20070501	20070501	五一國際勞動節到了，天龍八部祝您每天快快樂樂，萬事無憂。
8	20070513	20070513	今天是母親節，天龍八部提醒您，別忘了向您的母親致以節日的問候。
9	20070601	20070601	今天是國際兒童節，天龍八部祝您永遠有著孩子們快樂的童心。
10	20070619	20070619	今天是端午節，劃龍舟吃棕子以紀念偉大愛國主義詩人屈原，天龍八部祝您端午節快樂。
11	20070617	20070617	今天是父親節，天龍八部提醒您，別忘了向您的父親致以節日的問候。
12	20070701	20070701	今天是中國共產黨的生日，也是香港回歸日，天龍八部祝您節日快樂。
13	20070707	20070707	今天是中國人民抗日戰爭紀念日，毋忘歷史，自強不息，每個中國人從我做起。
14	20070801	20070801	今天是建軍節，天龍八部祝您節日快樂。
15	20070819	20070819	今天是七月七日乞巧節，是中國的情人節，天龍八部祝您幸福一生。
#16	20070910	20070910	今天是教师节，天龙八部提醒您，别忘了向您的老师致以节日的问候。
17	20070925	20070925	花好月圓，中秋快樂，天龍八部祝您美美滿滿，團團圓圓。
18	20071001	20071003	天龍八部祝您國慶節快樂，願您度過一個愉快的十一長假。
19	20071101	20071101	今天是西方的萬聖節，天龍八部祝您節日快樂。
20	20071122	20071122	今天是西方的感恩節，天龍八部祝您節日快樂。
21	20071224	20071224	今天是平安夜，天龍八部祝你快樂。
22	20071225	20071225	今天是聖誕節，在白雪飄零的聖誕之刻，天龍八部祝您平安。
23	20080428	20080510	遞聖火，贏大獎！奧運熱潮綿延不斷，天龍八部裡將舉辦別開生面的“聖火傳遞”活動。參加者不但能獲得大量經驗獎勵，堅持完成活動的玩家更是有機會獲得幸運大獎！活動時間：2008年10月8日~29日，每晚19：45~22：45找蘇州聖火壇（91，84）參加活動。參加等級：10級以上。
24	20080501	20080507	親愛的玩家，歡迎您來到天龍八部的世界。從5月1日開始，凡等級≥30級的玩家都可以前往大理雲飄飄（266，127）處領取招牌一個。還等什麼？快來擺攤吧！ 
25	20080501	20080503	春暖花開師門贈禮活動正在進行中，在3月4日——3月25日活動進行期間，所有已加入門派的玩家都可以在大理雲飄飄（265，127）處參加春暖花開師門贈禮活動，活動完成後的獎勵為一個1級獸欄，此道具可以讓你所能攜帶的寵物數量+1。
#26	20080703	20091225	欢迎您来到天龙八部世界！“夺宝师徒练”活动正在进行中。具体内容请查阅天龙八部官方网站。
#27	20080917	20080928	新的学期又到来了！所有10级以上（包括10级）的玩家都可以去大理 （173，146） 孙八爷处免费领取一件时装：才子佳人。快快行动吧！
28	20080719	20080824	看奧運，上搜狐。
29	20090210	20090216	浪漫的情人節到來了，快快去找洛陽邱碧特（177，102）吧，他會賜給你神秘的愛情武器哦！
30	20081204	20090228	还在为珍兽升级太慢而苦恼吗？希望自己的珍兽超速成长吗？帮会城市的（44，58）乐善可以帮助你解决这个问题。珍兽快速成长不再是梦！
31	20081204	20090228	想给自己爱情一份独特的纪念吗？如果你的等级达到了30级，就快和你的爱人组队前往洛阳（47，62）月老处领取可以升级和被祝福的永恒钻戒吧！
32	20090125	20090201	各派弟子可以在2009年1月25日0时至2月1日24时内前往师门任务发布人处报名参加门派年货大采购活动，按照指示完成任务不仅可以获得经验，还有几率获得特殊物品“春联”。成功收集一套春联后还可以换取意想不到的奖品哦，时间有限，赶快行动！
33	20081215	20081229	想得到武林至尊装备？快来参加12月15日0点开始的：送——至尊真·重楼玉！充值开抢！送——九星重楼玉！充值天天送！送——龙牌、大风、5级红宝石！三重大礼每天送！详情请登录官方网站http://tl.sohu.com/events/czhd/index.shtml 查询。
#34	20081230	20090228	各位玩家请注意，年兽入侵活动即将结束，请您近期内尽快使用手中的斩妖剑。活动结束后，斩妖剑将无法继续发挥其作用。
35	20090119	20090226	亲爱的玩家，1月19日至2月26日期间，您每天可以到大理（171，146）孙八爷处领取一次“和谐光环”，和谐光环可以在未来2个小时内让您的战斗力得到最大幅度的提升！
36	20090311	20090410	#{TSJH_090224_1}
