INT	INT	STRING
index	week	info$1$
#<0>index	索引	
#<1>week	星期（0-6，周日-周六）	
#<2>info	消息内容	
#		
0	0	#P今天是漕運日，截止到#Y24：00#P之前，玩家進行漕運所獲得的收益翻倍。請找#G洛陽（228,175）#Y漕運使趙明誠#P或者#G蘇州（234,78）#Y漕運使陸士錚#P或#G大理（54,192）#Y漕運使王若禹#P開始漕運。
1	6	#P今天是商人日，幫會中完成商人任務的玩家獲得的收益將明顯增加。請找#G幫會城市中（149,56）#Y錢為一#P開始跑商。
2	4	#P新一屆華山論劍將於今天#Y15：00#P開始，請各門派弟子找#G蘇州（193,138）#Y蘇劍嶺#P報名參加。
3	0	#P新一屆華山論劍將於今天#Y15：00#P開始，請各門派弟子找#G蘇州（193,138）#Y蘇劍嶺#P報名參加。
4	3	#P新一屆的比武大會將於今天#Y15：35#P開始，請各路英雄找#G蘇州（173,130）#Y隋豹鳴#P報名參加。
5	6	#P新一屆的比武大會將於今天#Y15：35#P開始，請各路英雄找#G蘇州（173,130）#Y隋豹鳴#P報名參加。
6	6	#P圍剿#Y鏡湖水匪頭領#P活動將於今天下午#Y13：00#P開始至#Y22：00#P結束。此任務需要#Y3人#P以上組隊至#G鏡湖（199，54）#P處參加，每位元參加者需要#Y1枚#W銀紕令箭#P。#W銀紕令箭#P請在幫會城市中找#Y武事官員武大威#P領取。
