INT	INT	INT	INT	INT	INT
编号	宠物技能总数	已有主动技能数	已有被动技能数	领悟主动技能概率（单位1/10w）	领悟被动技能概率（单位1/10w）
0	3	0	0	500	1500
1	3	1	0	0	1000
2	3	0	1	50	800
3	3	1	1	0	500
4	3	0	2	5	300
5	3	1	2	0	100
6	4	0	0	800	2000
7	4	1	0	0	1500
8	4	0	1	150	1000
9	4	1	1	0	600
10	4	0	2	20	400
11	4	1	2	0	200
12	4	0	3	10	100
13	4	1	3	0	50
14	5	0	0	1000	2500
15	5	1	0	0	2000
16	5	0	1	200	1500
17	5	1	1	0	1000
18	5	0	2	50	800
19	5	1	2	0	500
20	5	0	3	20	300
21	5	1	3	0	100
22	5	0	4	2	50
23	5	1	4	0	30
24	12	0	0	1500	3000
25	12	1	0	0	2843
26	12	2	0	0	2531
27	12	0	1	1250	2294
28	12	1	1	0	1881
29	12	2	1	0	1558
30	12	0	2	1042	1399
31	12	1	2	0	1285
32	12	2	2	0	1204
33	12	0	3	868	1146
34	12	1	3	0	1104
35	12	2	3	0	900
36	12	0	4	723	800
37	12	1	4	0	700
38	12	2	4	0	600
39	12	0	5	603	500
40	12	1	5	0	400
41	12	2	5	0	300
42	12	0	6	503	200
43	12	1	6	0	150
44	12	2	6	0	130
45	12	0	7	419	120
46	12	1	7	0	110
47	12	2	7	0	100
48	12	0	8	349	90
49	12	1	8	0	80
50	12	2	8	0	70
51	12	0	9	291	60
52	12	1	9	0	50
53	12	2	9	0	40
54	12	0	10	243	30
55	12	1	10	0	20
56	12	2	10	0	10
